Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bahrain,BHR,0,6.153732546,90.0000397,90.50313348,93.4783008,97.9999807,95.87813575,98.64467258,99.70150438,99.67103159,100,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bangladesh,BGD,0,0.071039423,6.63,11.9,12.9,18.1,19.8,23.44,27.76,32.87,38.91744466,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Barbados,BRB,0,3.973678355,71.8,75.16,76.11,79.54939789,81.76077839,82.48,83.20881332,82.458446,85.82,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belarus,BLR,0,1.860398126,54.17,59.02,62.23036091,71.11304576,74.43644541,79.12988669,82.78915209,85.08791245,86.88841196,89.50733148
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belgium,BEL,0.00100674,29.43169169,82.1702,85,85.05294175,86.51647666,87.67968082,88.647343,90.27542801,91.52641629,92.78867618,94.00783071
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belize,BLZ,0,5.963835303,33.6,38.7,41.59,44.57574032,47.0826258,49.8,57.11844188,59.50638944,61.9941698,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Benin,BEN,0,0.225247851,4.9,6,11.25498791,14.5,18.7,19,22.41593843,28.22915416,33.96533089,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bermuda,BMU,0,42.94986002,95.3,96.8,98.32360965,98,98.37,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bhutan,BTN,0,0.400944447,22.4,30.3,39.8,46.5,54.3,63.5,74.17944255,79.86984884,85.63688389,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bolivia,BOL,0,1.442763585,36.99,34.6,37.49,39.6975146,43.83227607,44.2861422,47.47481911,59.94010155,65.9773785,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bosnia and Herzegovina,BIH,0,1.08296075,48.52131417,49.91773243,52.6,60.25653543,64.89202051,70.12013504,69.94634763,73.21175294,75.67620138,78.8455371
Individuals using the Internet (% of population),IT.NET.USER.ZS,Botswana,BWA,0,2.902666622,30,36.74474744,37.31205037,39.36299738,41.41379464,58,64.82632542,72.74801998,73.5,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brazil,BRA,0,2.870685159,51.04,54.55100188,58.32795173,60.87254007,67.47128452,70.43428254,73.91243991,81.34269353,80.68989314,80.52775094
Individuals using the Internet (% of population),IT.NET.USER.ZS,British Virgin Islands,VGB,0,..,..,..,..,77.70142968,77.70426829,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brunei Darussalam,BRN,0,8.996284534,64.5,68.77,71.2,90,94.86669164,95,95,96.06912594,98.08,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bulgaria,BGR,0,5.370923469,53.0615,55.49,56.65625161,59.82554766,63.41010138,64.78201069,67.94698094,70.16248359,75.27144583,79.12686326
Individuals using the Internet (% of population),IT.NET.USER.ZS,Burkina Faso,BFA,0,0.077080169,5,6,6.55,7.14,7.79,8.5,9.27180601,13.93797176,21.57982734,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Burundi,BDI,0,0.077248447,1.264218111,1.4,2,2.2,2.660748535,2.7,2.731443388,3.787954422,5.804921577,..
